Predict
"[99.999753,14.924575],"
"[99.999649,13.408448],"
"[99.999605,13.392435],"
"[99.999268,13.40943],"
"[99.999233,13.40885],"
"[99.99922,13.40847],"
"[99.999133,13.403843],"
"[99.9991,13.4088],"
"[99.998955,15.276045],"
"[99.998932,13.408009],"
"[99.99874,13.40699],"
"[99.998652,13.406787],"
"[99.9985,13.4065],"
"[99.998355,14.947661],"
"[99.99833,13.40908],"
"[99.998027,13.408799],"
"[99.99796,14.536113],"
"[99.997868,13.39004],"
"[99.997566,15.36641],"
"[99.996796,13.393808],"
"[99.99598,13.423659],"
"[99.9956,15.7593],"
"[99.99532,14.53816],"
"[99.9951,13.8013],"
"[99.995026,14.42936],"
"[99.99442,13.397462],"
"[99.994301,14.972363],"
"[99.99418,15.76109],"
"[99.99411,13.408116],"
"[99.993915,13.801053],"
"[99.99297,13.47064],"
"[99.992892,13.38553],"
"[99.991645,15.414955],"
"[99.991578,13.384068],"
"[99.991501,14.088493],"
"[99.991402,13.384436],"
"[99.991371,14.035308],"
"[99.99115,14.035493],"
"[99.99096,15.76419],"
"[99.990941,14.041468],"
"[99.990463,13.384235],"
"[99.990362,13.407117],"
"[99.99021,15.76501],"
"[99.990021,13.93454],"
"[99.989765,14.016232],"
"[99.9896,15.76569],"
"[99.989333,15.765833],"
"[99.988983,13.387861],"
"[99.988763,14.968163],"
"[99.988731,13.22149],"
"[99.988692,13.388112],"
"[99.988312,13.670722],"
"[99.988057,13.38812],"
"[99.987496,13.386821],"
"[99.987167,15.453167],"
"[99.986992,13.385783],"
"[99.986439,15.769529],"
"[99.986183,14.4187],"
"[99.98612,13.86318],"
"[99.986099,15.770283],"
"[99.986043,15.770115],"
"[99.985504,14.13298],"
"[99.98532,14.133526],"
"[99.985131,15.460211],"
"[99.985028,15.378551],"
"[99.984901,15.77055],"
"[99.984747,14.145743],"
"[99.984703,13.422238],"
"[99.984547,14.675396],"
"[99.984215,15.771263],"
"[99.98417,13.422272],"
"[99.984116,15.771375],"
"[99.98405,14.15663],"
"[99.984041,13.421806],"
"[99.983935,15.363838],"
"[99.983803,13.86885],"
"[99.98363,15.77195],"
"[99.98269,15.3299],"
"[99.98262,13.868941],"
"[99.98259,15.77297],"
"[99.982536,15.319758],"
"[99.9822,14.966627],"
"[99.981255,13.79839],"
"[99.98124,13.79869],"
"[99.978276,13.469743],"
"[99.977808,13.841727],"
"[99.977715,15.930752],"
"[99.97755,14.0233],"
"[99.976916,14.68146],"
"[99.976886,13.387063],"
"[99.976768,13.41085],"
"[99.976277,13.411114],"
"[99.975572,15.309447],"
"[99.975235,15.780833],"
"[99.975128,13.210099],"
"[99.974594,13.412777],"
"[99.9743,13.551398],"
"[99.974075,14.163424],"
"[99.973511,13.489377],"
"[99.973491,15.782818],"
"[99.97348,13.48942],"
"[99.973378,13.487695],"
"[99.973323,13.490433],"
"[99.973048,13.500713],"
"[99.973007,13.486941],"
"[99.972995,13.501323],"
"[99.972985,13.504008],"
"[99.972961,13.502202],"
"[99.972862,13.50457],"
"[99.972852,13.506523],"
"[99.972816,13.50604],"
"[99.9728,13.506333],"
"[99.97273,13.50853],"
"[99.972683,13.509317],"
"[99.972635,13.510374],"
"[99.972597,13.511265],"
"[99.972588,13.515035],"
"[99.972541,13.51188],"
"[99.972535,13.514585],"
"[99.9725,13.5137],"
"[99.972497,13.511015],"
"[99.972383,13.519017],"
"[99.972278,13.51464],"
"[99.97221,13.51995],"
"[99.97211,13.417295],"
"[99.972011,13.52246],"
"[99.971969,13.512499],"
"[99.971863,13.520897],"
"[99.971517,15.785007],"
"[99.971146,13.090845],"
"[99.97105,13.522603],"
"[99.97103,13.52309],"
"[99.971024,15.784245],"
"[99.971,15.785333],"
"[99.970926,13.522924],"
"[99.970878,13.52106],"
"[99.97085,13.522983],"
"[99.9707,13.52325],"
"[99.970688,13.415532],"
"[99.970667,13.523233],"
"[99.970655,13.52324],"
"[99.970638,13.523895],"
"[99.970605,13.892431],"
"[99.970604,14.165082],"
"[99.97048,13.52318],"
"[99.970431,13.990118],"
"[99.970329,14.37579],"
"[99.970135,13.524826],"
"[99.97006,13.52301],"
"[99.97002,14.37542],"
"[99.969962,14.377295],"
"[99.96975,13.522867],"
"[99.969658,13.522878],"
"[99.969612,14.165435],"
"[99.96948,13.526496],"
"[99.969345,13.522757],"
"[99.969254,13.52275],"
"[99.969213,13.52223],"
"[99.96916,13.522183],"
"[99.96915,13.522267],"
"[99.96913,14.16934],"
"[99.96896,13.52259],"
"[99.968883,13.522606],"
"[99.968833,13.522167],"
"[99.96883,13.48057],"
"[99.968828,13.522245],"
"[99.968667,13.522167],"
"[99.9686,15.788187],"
"[99.96854,13.5219],"
