Predict
"[100.000077,13.406568],"
"[98.456662,15.145052],"
"[98.459007,15.142115],"
"[98.642082,14.738435],"
"[98.66262,14.723213],"
"[98.81841,14.514907],"
"[98.850815,14.438338],"
"[98.860986,14.457248],"
"[98.957566,14.354121],"
"[99.004952,14.287662],"
"[99.014771,14.239923],"
"[99.046188,14.24912],"
"[99.047476,14.221626],"
"[99.08213,14.214229],"
"[99.08289,13.92514],"
"[99.08407,14.21307],"
"[99.086245,13.92029],"
"[99.087921,14.210918],"
"[99.139107,14.38337],"
"[99.139333,14.379833],"
"[99.14013,13.92064],"
"[99.14127,14.38482],"
"[99.14299,14.117875],"
"[99.143992,14.375568],"
"[99.146566,14.378543],"
"[99.147141,14.377872],"
"[99.148821,14.139338],"
"[99.151405,13.895567],"
"[99.1517,14.41915],"
"[99.154938,14.109505],"
"[99.155202,14.109234],"
"[99.1632,14.10711],"
"[99.16409,14.10694],"
"[99.164396,14.52901],"
"[99.169649,14.100192],"
"[99.171761,13.882767],"
"[99.180056,14.121371],"
"[99.23445,14.27053],"
"[99.254378,14.045578],"
"[99.263748,14.17601],"
"[99.317215,13.96828],"
"[99.32238,14.138231],"
"[99.356315,13.544005],"
"[99.36783,13.54303],"
"[99.384314,13.527221],"
"[99.4017,14.068477],"
"[99.40519,14.110882],"
"[99.406712,14.094995],"
"[99.407832,13.84985],"
"[99.41191,13.463342],"
"[99.417854,14.095674],"
"[99.419617,15.589225],"
"[99.42695,13.94247],"
"[99.44161,14.07323],"
"[99.44314,13.54778],"
"[99.468241,14.078821],"
"[99.47075,14.06375],"
"[99.4732,14.0434],"
"[99.482856,14.318458],"
"[99.4835,14.036833],"
"[99.485703,13.954938],"
"[99.491333,14.064667],"
"[99.494651,14.061143],"
"[99.497355,14.057686],"
"[99.499016,13.982373],"
"[99.501465,14.040875],"
"[99.503212,14.039545],"
"[99.505098,14.041642],"
"[99.505119,14.041848],"
"[99.50519,14.042232],"
"[99.50533,14.04405],"
"[99.50537,14.042527],"
"[99.505394,14.043335],"
"[99.505412,14.041799],"
"[99.505486,14.042655],"
"[99.505806,14.04962],"
"[99.506732,14.04871],"
"[99.507273,14.048281],"
"[99.507833,14.05],"
"[99.5085,14.052333],"
"[99.50872,14.046738],"
"[99.508835,14.046933],"
"[99.50904,14.04675],"
"[99.509155,14.046528],"
"[99.5092,14.0466],"
"[99.509838,14.045871],"
"[99.509955,14.056556],"
"[99.510468,14.045242],"
"[99.511086,14.03868],"
"[99.512369,14.043654],"
"[99.512833,14.043333],"
"[99.513305,14.039183],"
"[99.520645,14.050669],"
"[99.5215,14.05008],"
"[99.522461,14.035067],"
"[99.522643,14.03219],"
"[99.522756,14.02149],"
"[99.5229,13.55738],"
"[99.523333,14.020667],"
"[99.52367,14.03406],"
"[99.524147,13.560163],"
"[99.524254,14.031569],"
"[99.52433,14.03332],"
"[99.524636,14.031948],"
"[99.525333,14.0385],"
"[99.525352,13.561645],"
"[99.525444,13.562068],"
"[99.526047,14.031772],"
"[99.526333,14.024],"
"[99.52733,14.030643],"
"[99.527833,14.030261],"
"[99.528692,14.018575],"
"[99.529373,14.019935],"
"[99.529495,14.044734],"
"[99.53056,14.02038],"
"[99.53117,14.016],"
"[99.53182,14.02068],"
"[99.53223,14.022906],"
"[99.532669,14.016845],"
"[99.53313,15.083108],"
"[99.53319,14.01698],"
"[99.533407,15.352069],"
"[99.533544,14.018367],"
"[99.533882,14.01715],"
"[99.533896,14.017205],"
"[99.533923,14.017076],"
"[99.534335,14.016045],"
"[99.535758,14.021912],"
"[99.536865,14.27421],"
"[99.538368,14.024524],"
"[99.53941,14.020783],"
"[99.540765,14.031306],"
"[99.54091,14.01907],"
"[99.542152,14.007938],"
"[99.543747,14.006601],"
"[99.547943,14.00315],"
"[99.553748,13.999106],"
"[99.555359,13.998063],"
"[99.555718,14.020795],"
"[99.557263,14.033987],"
"[99.561051,14.01192],"
"[99.566757,13.990637],"
"[99.56718,13.99068],"
"[99.570135,13.98867],"
"[99.571627,13.98744],"
"[99.572311,13.998858],"
"[99.5753,13.98484],"
"[99.57785,14.03757],"
"[99.579971,13.759138],"
"[99.580523,13.760627],"
"[99.580605,14.038571],"
"[99.580742,13.756474],"
"[99.59164,13.62064],"
"[99.591966,13.979688],"
"[99.596988,13.980545],"
"[99.59761,13.98053],"
"[99.598846,13.980783],"
"[99.600227,13.978639],"
"[99.600445,13.980881],"
"[99.60154,13.917375],"
"[99.6037,14.043738],"
"[99.60514,13.95456],"
"[99.612293,13.955842],"
"[99.612297,13.954938],"
"[99.612305,13.624695],"
"[99.612701,15.024879],"
"[99.612831,13.981526],"
"[99.61364,13.95422],"
"[99.615193,13.62596],"
"[99.61772,15.29134],"
"[99.61807,15.29071],"
"[99.619553,13.980186],"
"[99.621623,13.979923],"
"[99.625833,13.458967],"
"[99.627541,13.237741],"
"[99.62912,13.98089],"
"[99.63469,13.97983],"
"[99.64666,13.97829],"
"[99.64671,13.9783],"
"[99.6484,13.978],"
"[99.654333,14.805806],"
"[99.655113,13.868405],"
"[99.662422,13.952237],"
"[99.664084,15.142748],"
"[99.66682,14.10765],"
"[99.669395,15.79975],"
"[99.673023,13.97419],"
"[99.68109,15.792845],"
"[99.684045,13.808452],"
"[99.6903,13.9719],"
"[99.690773,14.840545],"
"[99.691477,15.783965],"
"[99.69463,14.12676],"
"[99.695396,13.971068],"
"[99.695471,14.128783],"
"[99.697349,15.779971],"
"[99.698547,13.969744],"
"[99.6991,13.96862],"
"[99.699869,15.821166],"
"[99.703346,14.125098],"
"[99.7035,14.1155],"
"[99.70626,13.94041],"
"[99.708938,13.952893],"
"[99.71106,13.94194],"
"[99.713225,13.949303],"
"[99.71362,13.948372],"
"[99.714043,13.947507],"
"[99.714767,14.120463],"
"[99.716967,13.751245],"
"[99.730458,15.425777],"
"[99.735581,13.444985],"
"[99.737717,13.625998],"
"[99.739155,13.621564],"
"[99.73997,13.93304],"
"[99.744576,14.176887],"
"[99.746476,13.959063],"
"[99.746583,14.109847],"
"[99.747635,13.83111],"
"[99.748971,13.960051],"
"[99.749402,13.548078],"
"[99.751831,13.957018],"
"[99.75531,14.33606],"
"[99.755688,13.955928],"
"[99.756096,13.61291],"
"[99.758545,13.930778],"
"[99.75869,13.947609],"
"[99.76148,13.92705],"
"[99.762806,13.916421],"
"[99.76436,14.955625],"
"[99.766106,13.923928],"
"[99.76766,13.39166],"
"[99.767726,13.916481],"
"[99.770088,13.913071],"
"[99.770625,15.066268],"
"[99.771263,13.587715],"
"[99.77159,13.71788],"
