Predict
"[99.99982,13.40881],"
"[99.999783,13.41235],"
"[99.999675,13.408847],"
"[99.99951,13.406631],"
"[99.999481,13.971026],"
"[99.999467,13.40477],"
"[99.999333,13.409],"
"[99.999237,13.4094],"
"[99.999169,13.408565],"
"[99.999107,13.40574],"
"[99.998993,13.414053],"
"[99.9989,14.230325],"
"[99.99877,13.41453],"
"[99.998723,15.928156],"
"[99.99862,13.40633],"
"[99.998306,13.406935],"
"[99.997986,13.405617],"
"[99.997972,13.8023],"
"[99.997871,15.246331],"
"[99.997475,15.276395],"
"[99.996982,13.424262],"
"[99.996883,14.539692],"
"[99.996865,13.389453],"
"[99.996346,13.393415],"
"[99.99622,13.803841],"
"[99.996063,15.248001],"
"[99.995068,13.990648],"
"[99.99453,13.465778],"
"[99.993902,13.420332],"
"[99.993744,13.999425],"
"[99.993735,13.418128],"
"[99.993706,13.465847],"
"[99.99349,13.88181],"
"[99.992859,13.418484],"
"[99.992599,13.80063],"
"[99.991743,13.535181],"
"[99.991409,13.864536],"
"[99.990997,15.764078],"
"[99.990683,15.419466],"
"[99.990554,13.422324],"
"[99.9905,15.7647],"
"[99.99021,15.76501],"
"[99.989986,13.421805],"
"[99.98978,13.51339],"
"[99.98958,15.76568],"
"[99.989511,15.76566],"
"[99.988943,15.766411],"
"[99.988914,14.073369],"
"[99.988796,14.076156],"
"[99.988609,14.079243],"
"[99.987991,15.767252],"
"[99.98761,13.221706],"
"[99.986603,15.365833],"
"[99.985848,13.383217],"
"[99.985526,15.499633],"
"[99.98551,15.77009],"
"[99.985356,15.770083],"
"[99.98411,15.363443],"
"[99.9838,15.7717],"
"[99.983711,15.459748],"
"[99.983513,15.806717],"
"[99.983373,15.772055],"
"[99.983177,14.414307],"
"[99.982903,14.8053],"
"[99.982167,15.773167],"
"[99.982113,13.433194],"
"[99.981911,13.433445],"
"[99.98131,13.419405],"
"[99.981232,13.798635],"
"[99.98118,13.79884],"
"[99.98045,13.42017],"
"[99.980415,14.966215],"
"[99.979917,15.934192],"
"[99.979454,15.935143],"
"[99.978518,15.777238],"
"[99.978346,15.777405],"
"[99.978333,13.798333],"
"[99.978311,13.398533],"
"[99.978149,13.41931],"
"[99.976891,14.768458],"
"[99.976598,14.16218],"
"[99.976592,14.870363],"
"[99.9765,13.418833],"
"[99.975532,15.309418],"
"[99.975361,15.780695],"
"[99.97498,14.162991],"
"[99.974973,13.446786],"
"[99.974673,13.418098],"
"[99.974404,14.380419],"
"[99.97434,13.417917],"
"[99.97404,13.417597],"
"[99.973671,13.402549],"
"[99.973543,13.52764],"
"[99.973514,13.490116],"
"[99.9735,13.489167],"
"[99.973406,13.4878],"
"[99.973333,13.493667],"
"[99.97333,13.492798],"
"[99.973289,13.49468],"
"[99.97328,13.492452],"
"[99.973135,14.163828],"
"[99.97302,13.500747],"
"[99.972928,13.503858],"
"[99.972896,13.503863],"
"[99.972846,13.506995],"
"[99.972826,13.506945],"
"[99.972824,13.506336],"
"[99.972801,13.50605],"
"[99.9728,13.51628],"
"[99.972786,13.50583],"
"[99.97278,13.507973],"
"[99.97278,13.4864],"
"[99.972755,13.508481],"
"[99.97275,13.507217],"
"[99.972733,13.510427],"
"[99.972708,13.513053],"
"[99.97268,13.51339],"
"[99.972633,13.511699],"
"[99.972598,13.513061],"
"[99.972581,13.514266],"
"[99.972551,13.516513],"
"[99.972534,13.514209],"
"[99.9725,13.517],"
"[99.972497,13.518002],"
"[99.972496,13.516477],"
"[99.972488,13.516845],"
"[99.972467,13.5173],"
"[99.972466,13.516665],"
"[99.97246,13.510992],"
"[99.972447,13.51092],"
"[99.972437,13.517683],"
"[99.972398,13.512098],"
"[99.972343,13.512022],"
"[99.972319,13.520099],"
"[99.972305,13.52003],"
"[99.972252,13.519927],"
"[99.972125,14.80859],"
"[99.971901,13.484357],"
"[99.971601,13.416071],"
"[99.971566,13.483703],"
"[99.971542,14.008252],"
"[99.971542,13.506289],"
"[99.971535,14.008273],"
"[99.971467,13.521667],"
"[99.971406,13.521881],"
"[99.971352,13.523498],"
"[99.971345,14.111141],"
"[99.97131,15.785272],"
"[99.971172,13.41581],"
"[99.971167,14.454667],"
"[99.97085,13.522962],"
"[99.97077,13.523235],"
"[99.970665,13.523231],"
"[99.970665,13.033139],"
"[99.970657,13.523242],"
"[99.970503,13.523276],"
"[99.970459,13.986979],"
"[99.970444,13.415298],"
"[99.97038,13.415238],"
"[99.970243,13.415168],"
"[99.970176,13.425835],"
"[99.970158,13.482066],"
"[99.970036,13.52308],"
"[99.9695,13.525833],"
"[99.969414,13.526214],"
"[99.969345,13.52638],"
"[99.969285,13.522331],"
"[99.969235,13.522402],"
"[99.96919,13.52223],"
"[99.96919,13.522155],"
"[99.969162,13.52217],"
"[99.96915,13.522267],"
"[99.9691,13.52231],"
"[99.969093,13.522315],"
"[99.96897,13.52264],"
"[99.96895,13.5225],"
"[99.968872,13.522357],"
"[99.968763,13.522273],"
"[99.968751,13.522543],"
